"id";"category path ▾";"healthcare1";"restaurants2";"hotels3";"komuns";"category";"subcategory";""
"2";"Automotive";"";"";"";"";"";"";""
"3";"Automotive > Car Appraisers";"";"";"";"disable";"";"";""
"4";"Automotive > Car Dealers and Leasing";"";"";"";"disable";"";"";""
"5";"Automotive > Car Dealers and Leasing > Used Cars";"";"";"";"disable";"";"";""
"6";"Automotive > Car Parts and Accessories";"";"";"";"disable";"";"";""
"7";"Automotive > Car Wash and Detail";"";"";"";"disable";"";"";""
"8";"Automotive > Classic and Antique Car";"";"";"";"disable";"";"";""
"9";"Automotive > Maintenance and Repair";"";"";"";"disable";"";"";""
"10";"Automotive > Maintenance and Repair > Oil and Lube";"";"";"";"disable";"";"";""
"11";"Automotive > Maintenance and Repair > Smog Check";"";"";"";"disable";"";"";""
"12";"Automotive > Maintenance and Repair > Tires";"";"";"";"disable";"";"";""
"13";"Automotive > Maintenance and Repair > Transmissions";"";"";"";"disable";"";"";""
"14";"Automotive > Motorcycles, Mopeds and Scooters";"";"";"";"disable";"";"";""
"15";"Automotive > Motorcycles, Mopeds and Scooters > Repair";"";"";"";"disable";"";"";""
"16";"Automotive > Motorcycles, Mopeds and Scooters > Sales";"";"";"";"disable";"";"";""
"17";"Automotive > RVs and Motor Homes";"";"";"";"disable";"";"";""
"18";"Automotive > Salvage Yards";"";"";"";"disable";"";"";""
"19";"Automotive > Towing";"";"";"";"disable";"";"";""
"20";"Community and Government";"";"";"";"";"";"";""
"21";"Community and Government > Animal Shelters and Humane Societies";"";"";"";"enable";"services directory";"Database";""
"22";"Community and Government > Cemeteries";"";"";"";"disable";"";"";""
"23";"Community and Government > Day Care and Preschools";"";"";"";"enable";"services directory";"Database";""
"24";"Community and Government > Disabled Persons Services";"";"";"";"enable";"services directory";"Database";""
"25";"Community and Government > Drug and Alcohol Services";"";"";"";"enable";"services directory";"Database";""
"26";"Community and Government > Education";"";"";"✓";"enable";"services directory";"Database";"We need to know if there is any info in this category itself"
"27";"Community and Government > Education > Adult Education";"";"";"";"enable";"services directory";"Database";""
"28";"Community and Government > Education > Art Lessons and Schools";"";"";"";"enable";"services directory";"Database";""
"29";"Community and Government > Education > Colleges and Universities";"";"";"";"enable";"services directory";"Database";""
"30";"Community and Government > Education > Computer Training";"";"";"";"enable";"services directory";"Database";""
"31";"Community and Government > Education > Culinary Lessons and Schools";"";"";"";"enable";"services directory";"Database";""
"32";"Community and Government > Education > Driving Schools";"";"";"";"disable";"";"";""
"33";"Community and Government > Education > Fraternities and Sororities";"";"";"";"disable";"";"";""
"34";"Community and Government > Education > Primary and Secondary Schools";"";"";"";"enable";"services directory";"Database";""
"35";"Community and Government > Education > Tutoring and Educational Services";"";"";"";"enable";"services directory";"Database";""
"36";"Community and Government > Education > Vocational Schools";"";"";"";"enable";"services directory";"Database";""
"37";"Community and Government > Government Departments and Agencies";"";"";"";"enable";"services directory";"Database";""
"453";"Community and Government > Government Departments and Agencies > Embassies";"";"";"";"disable";"";"";""
"38";"Community and Government > Government Lobbyists";"";"";"";"disable";"";"";""
"39";"Community and Government > Housing Assistance and Shelters";"";"";"";"disable";"";"";""
"40";"Community and Government > Law Enforcement and Public Safety";"";"";"";"enable";"services directory";"Database";""
"42";"Community and Government > Law Enforcement and Public Safety > Fire Stations";"";"";"";"enable";"services directory";"Database";""
"43";"Community and Government > Law Enforcement and Public Safety > Police Stations";"";"";"";"enable";"services directory";"Database";""
"41";"Community and Government > Law Enforcement and Public Safety > Rescue Services";"";"";"";"enable";"services directory";"Database";""
"44";"Community and Government > Libraries";"";"";"";"enable";"Art & Museum";"Library";""
"45";"Community and Government > Military";"";"";"";"disable";"";"";""
"46";"Community and Government > Military > Bases";"";"";"";"disable";"";"";""
"47";"Community and Government > Organizations and Associations";"";"";"✓";"enable";"services directory";"Database";""
"48";"Community and Government > Organizations and Associations > Charities and Non-Profits";"";"";"";"enable";"services directory";"Database";""
"49";"Community and Government > Organizations and Associations > Environmental";"";"";"";"enable";"services directory";"Database";""
